topic_title	screen_name	epoch	text	link
MB222	REUTERS	2013-02-14 00:00:00+00:00	Hollywood under the spell of Oz The Great and Powerful	http://www.reuters.com/video/2013/02/14/hollywood-under-the-spell-of-oz-the-grea?videoId=241120208
MB223	USATODAY	2013-03-16 09:00:00+00:00	Dog-friendly Florida: Top spots to vacation with pets	http://www.usatoday.com/story/travel/destinations/2013/03/16/dog-friendly-florida-top-spots-to-vacation-with-pets/1992039/
MB223	USATODAY	2013-03-10 12:00:00+00:00	Yellow Dog Project signals not-so-social dogs	http://www.usatoday.com/story/news/world/2013/03/10/dogs-need-space/1933677/
MB223	USATODAY	2013-03-26 14:45:12+00:00	Giffords' husband pulls dog off sea lion in California	http://www.usatoday.com/story/news/nation/2013/03/26/kelly-giffords-calif-sea-lion/2020837/
MB223	AP	2013-03-26 04:00:00+00:00	Giffords' husband pulls dog off sea lion in Calif.	http://bigstory.ap.org/article/giffords-husband-pulls-dog-sea-lion-calif
MB225	USATODAY	2013-03-05 14:11:10+00:00	Who gave Barbara Walters chickenpox?	http://www.usatoday.com/story/life/people/2013/03/05/who-gave-barbara-walters-chicken-pox/1964183/
MB225	USATODAY	2013-02-26 16:23:23+00:00	Barbara Walters to return to 'The View' March 4	http://www.usatoday.com/story/life/people/2013/02/26/barbara-walters-returns-to-the-view-march-4/1948661/
MB225	REUTERS	2013-02-26 18:45:43+00:00	Barbara Walters to return to TV's The View next week	http://uk.reuters.com/article/2013/02/26/uk-barbarawalters-theview-idUKBRE91P0TD20130226
MB225	USATODAY	2013-02-06 20:06:43+00:00	Barbara Walters plans 'View' return	http://www.usatoday.com/story/life/people/2013/02/06/barbara-walters-plans-view-return/1896711/
MB225	AP	2013-02-26 05:00:00+00:00	Barbara Walters returning to 'The View' on Monday	http://bigstory.ap.org/article/barbara-walters-returning-view-monday
MB225	REUTERS	2013-02-26 18:43:21+00:00	Barbara Walters to return to TV's 'The View' next week	http://www.reuters.com/article/2013/02/26/entertainment-us-barbarawalters-theview-idUSBRE91P0T520130226
